"Name","StoreID","City","County","PostCode","Phone","Manager","URL"
"Port Chester","1212","Port Chester","Westchester","10573","(914) 690-9745","Carlos V.","/l/Port-Chester/NY/Port-Chester/10573/1212"
"Smithtown","6167","Commack","Suffolk","11725","(631) 493-2320","Jay R.","/l/Smithtown/NY/Commack/11725/6167"
"Huntington,NY","1272","Huntington","Suffolk","11743","(631) 424-9170","Richard N.","/l/Huntington-NY/NY/Huntington/11743/1272"
"Patchogue West","1258","Patchogue","Suffolk","11772","(631) 286-4665","Paul B.","/l/Patchogue-West/NY/Patchogue/11772/1258"
"Central Islip","6955","Central Islip","Suffolk","11722","(631) 234-2670","Carolyn O.","/l/Central-Islip/NY/Central-Islip/11722/6955"
"Deer Park","1285","Deer Park","Suffolk","11729","(631) 242-0215","Donna D.","/l/Deer-Park/NY/Deer-Park/11729/1285"
"Mt Pleasant,NY","8456","Hawthorne","Westchester","10532","(914) 593-7110","Frederick S.","/l/Mt-Pleasant-NY/NY/Hawthorne/10532/8456"
"New Rochelle","1245","New Rochelle","Westchester","10805","(914) 235-7575","Ashim C.","/l/New-Rochelle/NY/New-Rochelle/10805/1245"
"Yonkers","1248","Yonkers","Westchester","10710","(914) 963-3003","Trevor M.","/l/Yonkers/NY/Yonkers/10710/1248"
"Syosset","8466","Syosset","Nassau","11791","(516) 364-4677","Jayson D.","/l/Syosset/NY/Syosset/11791/8466"
"Bronx","1221","Bronx","Bronx","10469","(718) 862-9800","Edwin R.","/l/Bronx/NY/Bronx/10469/1221"
"Jericho","1213","Jericho","Nassau","11753","(516) 997-9595","Anthony G.","/l/Jericho/NY/Jericho/11753/1213"
"W Nyack","1217","West Nyack","Rockland","10994","(845) 348-0566","Dave L.","/l/W-Nyack/NY/West-Nyack/10994/1217"
"Bruckner Blvd And Brush","6877","Bronx","Bronx","10465","(718) 828-1071","John P.","/l/Bruckner-Blvd-And-Brush/NY/Bronx/10465/6877"
"Raceway","8465","Westbury","Nassau","11590","(516) 794-1101","John G.","/l/Raceway/NY/Westbury/11590/8465"
"Levittown (relo #1201)","6105","Levittown","Nassau","11756","(516) 861-1400","Christopher M.","/l/Levittown-relo-1201/NY/Levittown/11756/6105"
"Nanuet","1261","Nanuet","Rockland","10954","(845) 627-2038","Matthew H.","/l/Nanuet/NY/Nanuet/10954/1261"
"College Point","1277","Flushing","Queens","11354","(718) 661-4608","Yolanda D.","/l/College-Point/NY/Flushing/11354/1277"
"Bronx Terminal","6891","Bronx","Bronx","10451","(718) 401-2520","Miriam P.","/l/Bronx-Terminal/NY/Bronx/10451/6891"
"Farmingdale","1267","Farmingdale","Suffolk","11735","(631) 753-0814","Paul H.","/l/Farmingdale/NY/Farmingdale/11735/1267"
"Flushing","1214","Flushing","Queens","11355","(718) 358-9600","Nafiza A.","/l/Flushing/NY/Flushing/11355/1214"
"Hempstead","1274","Hempstead","Nassau","11550","(516) 565-3700","James R.","/l/Hempstead/NY/Hempstead/11550/1274"
"Hackensack","0983","Hackensack","Bergen","07601","(201) 336-3041","Jazmin O.","/l/Hackensack/NJ/Hackensack/07601/983"
"Elmont","1208","Elmont","Nassau","11003","(516) 488-8500","John O.","/l/Elmont/NY/Elmont/11003/1208"
"Colonia","0981","Colonia","Middlesex","07067","(732) 388-7825","Paul A.","/l/Colonia/NJ/Colonia/07067/981"
"Linden","0934","Linden","Union","07036","(908) 523-1520","Giovanni T.","/l/Linden/NJ/Linden/07036/934"
"Woodbridge","0916","Woodbridge","Middlesex","07095","(732) 750-9890","Jennifer H.","/l/Woodbridge/NJ/Woodbridge/07095/916"
"Staten Island South","1281","Staten Island","Richmond","10309","(718) 984-4690","Dennis K.","/l/Staten-Island-South/NY/Staten-Island/10309/1281"
"Vh-Garwood","6903","Garwood","Union","07027","(908) 518-0011","Tariz L.","/l/Vh-Garwood/NJ/Garwood/07027/6903"
"Vh-Elizabeth","6905","Elizabeth","Union","07202","(908) 259-2600","Yvonne L.","/l/Vh-Elizabeth/NJ/Elizabeth/07202/6905"
"Staten Island","1249","Staten Island","Richmond","10303","(718) 273-5069","Sheldon C.","/l/Staten-Island/NY/Staten-Island/10303/1249"
"Edison","0944","Edison","Middlesex","08837","(732) 906-0501","Richard N.","/l/Edison/NJ/Edison/08837/944"
"Union - Rt 22","0954","Union","Union","07083","(908) 687-7907","Andrew R.","/l/Union-Rt-22/NJ/Union/07083/954"
"S Plainfield","0903","South Plainfield","Middlesex","07080","(732) 752-5900","Christian C.","/l/S-Plainfield/NJ/South-Plainfield/07080/903"
"Old Bridge II","0957","Old Bridge","Middlesex","08857","(732) 727-1417","Howard A.","/l/Old-Bridge-II/NJ/Old-Bridge/08857/957"
"Watchung","0906","Watchung","Somerset","07069","(908) 222-7700","Michael U.","/l/Watchung/NJ/Watchung/07069/906"
"Union/Vauxhall","0915","Vauxhall","Union","07088","(908) 686-9804","Gerald T.","/l/Union-Vauxhall/NJ/Vauxhall/07088/915"
"Staten Island East","6150","Staten Island","Richmond","10304","(718) 818-9334","Claudio P.","/l/Staten-Island-East/NY/Staten-Island/10304/6150"
"Newark,NJ","0980","Newark","Essex","07103","(973) 848-0600","Marcus M.","/l/Newark-NJ/NJ/Newark/07103/980"
"Hazlet","0926","Hazlet","Monmouth","07730","(732) 264-1661","Allison M.","/l/Hazlet/NJ/Hazlet/07730/926"
"Milltown","0918","Milltown","Middlesex","08850","(732) 432-0500","James C.","/l/Milltown/NJ/Milltown/08850/918"
"Jersey City","0935","Jersey City","Hudson","07302","(201) 521-9437","Michael R.","/l/Jersey-City/NJ/Jersey-City/07302/935"
"Cropsey","1256","Brooklyn","Kings","11214","(718) 333-9850","Anthony R.","/l/Cropsey/NY/Brooklyn/11214/1256"
"Bloomfield","0928","Bloomfield","Essex","07003","(973) 680-8700","William D.","/l/Bloomfield/NJ/Bloomfield/07003/928"
"Jersey City,NJ","6845","Jersey City","Hudson","07310","(201) 963-6513","Raymond M.","/l/Jersey-City-NJ/NJ/Jersey-City/07310/6845"
"Brooklyn, NY","1225","Brooklyn","Kings","11232","(718) 832-8553","Tanisha H.","/l/Brooklyn-NY/NY/Brooklyn/11232/1225"
"Manhattan West 23rd St","6175","New York","New York","10010","(212) 929-9571","Richard P.","/l/Manhattan-West-23rd-St/NY/New-York/10010/6175"
"Bedford Stuyvesant","6957","Brooklyn","Kings","11205","(718) 230-0833","Nazan P.","/l/Bedford-Stuyvesant/NY/Brooklyn/11205/6957"
"Secaucus","0910","Secaucus","Hudson","07094","(201) 271-1200","Marc S.","/l/Secaucus/NJ/Secaucus/07094/910"
"Manhattan 59th Street","6177","New York","New York","10022","(212) 888-1512","Eneka D.","/l/Manhattan-59th-Street/NY/New-York/10022/6177"
"North Bergen","8475","North Bergen","Hudson","07047","(201) 868-8125","Fitni I.","/l/North-Bergen/NJ/North-Bergen/07047/8475"
"Clifton","0908","Clifton","Passaic","07012","(973) 472-4600","Frank F.","/l/Clifton/NJ/Clifton/07012/908"
"Passaic","0950","Passaic","Passaic","07055","(973) 471-2111","Richard M.","/l/Passaic/NJ/Passaic/07055/950"
"Totowa","0922","Totowa","Passaic","07512","(973) 812-8390","Pablo Z.","/l/Totowa/NJ/Totowa/07512/922"
"Montville","0965","Montville","Morris","07045","(973) 575-0823","Anthony R.","/l/Montville/NJ/Montville/07045/965"
"Lodi","0932","Lodi","Bergen","07644","(201) 226-9929","Charles R.","/l/Lodi/NJ/Lodi/07644/932"
"E Hanover","0901","East Hanover","Morris","07936","(973) 887-4444","Miguel P.","/l/E-Hanover/NJ/East-Hanover/07936/901"
"Paterson","0959","Paterson","Passaic","07514","(973) 357-1305","Alexandra T.","/l/Paterson/NJ/Paterson/07514/959"
"Parsippany","0977","Parsippany","Morris","07054","(973) 335-5917","Kyle P.","/l/Parsippany/NJ/Parsippany/07054/977"
"Riverdale, NJ","0919","Riverdale","Morris","07457","(973) 248-0585","Robert J.","/l/Riverdale-NJ/NJ/Riverdale/07457/919"
"Paramus","0904","Paramus","Bergen","07652","(201) 262-3344","Kathleen S.","/l/Paramus/NJ/Paramus/07652/904"
"Dover","0925","Dover","Morris","07801","(973) 442-0101","Jason H.","/l/Dover/NJ/Dover/07801/925"
"Mahwah","0963","Mahwah","Bergen","07495","(201) 818-9754","Angelo C.","/l/Mahwah/NJ/Mahwah/07495/963"
"Roxbury","0909","Succasunna","Morris","07876","(973) 927-7700","Bryan B.","/l/Roxbury/NJ/Succasunna/07876/909"
"Long Island City","1255","Long Island City","Queens","11101","(718) 278-9031","Hazem E.","/l/Long-Island-City/NY/Long-Island-City/11101/1255"
"Bulova/Queens","6844","East Elmhurst","Queens","11369","(718) 507-9007","Oscary C.","/l/Bulova-Queens/NY/East-Elmhurst/11369/6844"
"Woodhaven Blvd/Queens","1220","Glendale","Queens","11385","(718) 830-3323","Jason H.","/l/Woodhaven-Blvd-Queens/NY/Glendale/11385/1220"
"Bridgewater - Rt 28","0947","Bridgewater","Somerset","08807","(732) 469-5883","John P.","/l/Bridgewater-Rt-28/NJ/Bridgewater/08807/947"
"Bridgewater II - Rt 202","0962","Bridgewater","Somerset","08807","(908) 252-0101","Mark P.","/l/Bridgewater-II-Rt-202/NJ/Bridgewater/08807/962"
"S Brunswick","6917","Monmouth Junction","Middlesex","08852","(732) 438-5980","Lycourgos S.","/l/S-Brunswick/NJ/Monmouth-Junction/08852/6917"
"Marlboro","6911","Morganville","Monmouth","07751","(732) 617-7102","Tracey B.","/l/Marlboro/NJ/Morganville/07751/6911"
"Mill Basin","6158","Brooklyn","Kings","11234","(718) 692-7296","John W.","/l/Mill-Basin/NY/Brooklyn/11234/6158"
"Starrett City","6152","Brooklyn","Kings","11239","(718) 827-9568","Shondelle H.","/l/Starrett-City/NY/Brooklyn/11239/6152"
